,dates,Class M,Class S,Class I,Class P,Policy Passed,Conflict Indicator
501,2014,1,0,0,0,1,0
502,2013,1,0,0,0,0,1
503,1995,1,0,0,0,0,0
504,1994,1,0,0,0,1,0
505,2017,1,0,0,0,0,0
506,1994,1,0,0,0,0,0
507,2005,1,0,0,0,0,0
508,1995,1,0,0,0,0,0
509,2000,1,0,0,0,1,1
510,2001,1,0,0,0,0,0
511,2011,1,0,1,1,0,1
512,2001,1,0,0,0,0,1
513,2011,1,0,0,0,0,0
514,2007,1,0,0,0,0,1
515,2011,1,0,0,0,0,1
516,2008,1,0,0,0,0,0
517,2006,1,0,0,0,1,0
518,2016,1,0,0,0,1,0
519,2011,0,0,0,0,0,0
520,1999,1,0,0,0,1,0
521,2017,1,0,0,0,0,1
522,2008,1,0,0,0,0,0
523,1999,1,0,0,0,1,0
524,2015,1,0,0,0,0,1
525,2006,1,0,0,0,1,0
526,2003,1,1,0,0,0,1
527,2017,1,0,0,0,1,1
528,2002,1,0,0,0,1,0
529,2018,0,0,0,0,0,0
530,2001,1,0,0,1,0,1
531,2016,1,0,0,0,0,1
532,2012,1,0,0,0,0,1
533,2005,1,0,0,0,0,0
534,2016,1,0,0,0,0,0
535,2010,1,0,0,0,1,0
536,2007,1,0,0,0,1,0
537,2015,1,0,0,0,1,0
538,2002,1,0,0,1,0,1
539,2004,0,0,0,0,0,1
540,1996,1,0,0,0,1,0
541,2014,1,0,0,0,0,0
542,2012,1,0,0,0,1,1
543,2006,1,0,1,0,0,1
544,2009,1,0,0,0,0,1
545,2012,1,0,0,0,0,1
546,2015,1,0,0,0,1,0
547,2001,1,0,0,0,0,1
548,2003,1,0,0,0,0,1
549,2010,1,0,0,0,1,0
550,1999,1,0,0,0,1,0
551,2004,1,0,0,0,0,0
552,2017,1,0,0,0,0,1
553,2009,1,0,0,0,1,1
554,2000,1,0,0,0,0,1
555,2002,1,0,0,0,0,0
556,2018,1,0,1,0,0,1
557,2008,1,0,0,0,1,0
558,2018,1,0,0,0,0,0
559,2002,1,0,0,0,1,1
560,2011,1,0,0,0,0,1
561,2019,1,0,0,0,1,1
562,2003,1,0,0,1,0,0
563,2001,1,0,0,0,0,0
564,2015,1,0,0,0,0,1
565,2019,1,0,0,0,1,1
566,2015,1,0,0,0,0,1
567,1997,1,0,0,0,1,0
568,2017,1,0,0,0,0,0
569,2014,1,0,0,0,1,0
570,2001,1,0,0,0,0,1
571,2013,1,0,0,0,1,0
572,2016,1,0,0,0,1,1
573,2003,0,0,0,0,0,1
574,2013,1,0,0,0,1,1
575,2003,1,0,0,0,0,0
576,1997,1,0,0,0,1,0
577,2007,1,0,0,0,0,1
578,2018,1,0,0,0,0,1
579,1995,1,0,0,0,0,0
580,1998,1,0,0,0,1,0
581,1996,1,0,0,0,1,0
582,2004,1,3,0,0,0,0
583,2011,1,0,0,0,1,0
584,2013,1,0,0,0,1,0
585,2011,1,0,0,0,0,1
586,2012,1,0,0,0,1,0
587,1997,1,0,0,0,0,0
588,2012,1,0,0,0,1,0
589,2000,1,0,0,0,1,0
590,2019,1,0,0,0,0,0
591,2007,1,0,0,0,1,0
592,2019,1,0,0,0,0,1
593,2011,1,0,0,1,0,1
594,2012,1,0,0,0,1,0
595,2008,1,0,0,0,1,0
596,2001,1,0,0,0,0,1
597,2001,1,0,0,0,1,1
598,2015,1,0,0,0,0,1
599,2010,1,0,0,0,0,0
600,2004,1,0,1,1,0,1
601,2011,1,0,0,0,0,1
602,2009,1,0,0,0,0,0
603,2015,1,0,0,0,0,0
604,1995,1,0,0,0,1,0
605,2005,1,0,0,0,0,0
606,2012,1,0,0,0,0,0
607,2012,1,0,0,0,0,0
608,2003,1,0,0,0,1,0
609,2017,1,0,0,0,0,1
610,2000,1,0,0,0,0,1
611,2018,1,0,0,0,0,1
612,2006,1,0,0,0,0,1
613,2008,1,0,0,1,0,1
614,2002,1,0,0,1,0,1
615,2002,1,0,0,0,0,1
616,2016,1,0,0,0,1,0
617,2004,1,0,0,0,0,1
618,2006,1,0,0,0,0,1
619,2013,1,0,1,0,0,1
620,2002,1,0,0,1,0,1
621,1994,0,0,0,0,0,0
622,2003,0,0,0,0,0,0
623,2019,1,0,0,0,0,1
624,1994,0,0,0,0,0,0
625,2002,1,1,0,0,1,0
626,2008,1,0,0,0,0,1
627,2011,1,0,0,0,0,1
628,2017,1,0,0,1,0,0
629,2004,1,0,0,0,1,0
630,1998,1,0,0,0,0,1
631,2018,1,0,1,0,1,1
632,2010,0,0,0,0,0,0
633,2015,1,0,1,0,0,1
634,2000,1,0,0,0,0,0
635,2007,1,0,0,0,1,0
636,1998,1,0,0,0,0,1
637,2016,1,0,0,0,0,1
638,2015,1,0,0,0,0,0
639,2005,1,0,0,0,0,0
640,2009,1,0,0,0,1,0
641,1997,1,0,0,0,1,1
642,2003,0,0,0,0,0,0
643,1995,1,0,0,0,0,0
644,2001,1,0,0,0,1,0
645,2019,1,0,0,0,0,0
646,1995,1,0,0,0,1,1
647,2018,1,0,0,0,0,0
648,1998,1,0,0,1,1,1
649,2007,0,0,0,0,0,1
650,2010,1,0,0,0,0,0
651,2016,1,0,0,0,0,0
652,2010,1,0,0,0,1,0
653,2010,1,0,0,0,1,1
654,2011,1,0,0,0,0,0
655,1999,1,0,0,0,0,1
656,2013,1,0,0,0,0,0
657,2017,1,0,0,0,0,1
658,2018,1,0,0,0,0,1
659,2013,1,0,0,0,0,1
660,2000,1,0,0,0,1,0
661,2013,1,0,0,0,0,1
662,2018,1,0,0,0,0,1
663,2005,1,0,0,0,1,0
664,2015,3,0,0,0,1,1
665,2011,1,0,0,0,1,0
666,2010,1,0,0,0,1,0
667,2015,1,0,0,0,0,0
668,2016,1,0,0,1,0,1
669,1996,1,0,0,0,1,1
670,2016,1,0,0,0,1,1
671,2001,1,0,0,0,0,0
672,2008,1,1,0,0,0,0
673,2015,1,0,0,0,1,1
674,1994,1,0,0,0,1,0
675,1996,1,0,0,0,0,0
676,2002,1,0,1,1,0,1
677,2007,1,0,0,0,1,0
678,2000,1,0,0,0,1,1
679,1995,1,0,0,0,1,1
680,2010,1,0,0,0,1,0
681,2017,1,0,0,0,0,1
682,2008,1,0,0,0,0,0
683,2015,1,0,0,0,0,0
684,2002,1,0,1,1,0,1
685,2006,1,0,0,0,0,0
686,1998,1,0,0,1,0,1
687,2010,1,0,0,1,0,1
688,1997,1,0,0,0,0,1
689,2015,1,0,0,0,1,1
690,2013,1,0,0,0,0,1
691,2005,1,0,0,0,0,0
692,2003,1,0,0,0,0,1
693,2018,1,0,0,0,0,0
694,2010,1,0,0,0,1,0
695,2011,1,0,0,0,0,1
696,2011,1,0,0,0,1,0
697,2012,1,0,0,1,0,1
698,2008,1,0,0,0,0,0
699,1996,1,0,0,0,1,1
700,1996,1,0,0,0,1,0
