,meetings,dates,May I take it that the assembly wishes to take note of those items that remain open for consideration,The agenda was adopted,appoint a committee,I have been authorized to make the following statement on behalf of the committee,May I take it that the draft report as corrected is adopted by the council,point of order,amendment,A paragraph-by-paragraph vote on the draft resolution,refer the matter,postpone discussion to,postpone discussion indefinitely,The meeting was suspended,the meeting is adjourned,To withdraw the draft resolution,"In conformity with the usual practice, I propose, with consent of the council, to invite those representatives to participate in discussion",It is my understanding that the security council is ready to vote on the draft resolution before it,peacekeeping,peacemaking,sanctions,The draft resolution has been adopted,The draft resolution has not been adopted
166,pdf?symbol=en%2FS%2FPV.5335,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
167,pdf?symbol=en%2FS%2FPV.5722,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
168,pdf?symbol=en%2FS%2FPV.4482,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,pdf?symbol=en%2FS%2FPV.8306,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0
170,pdf?symbol=en%2FS%2FPV.8451,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0
171,pdf?symbol=en%2FS%2FPV.8261,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
172,pdf?symbol=en%2FS%2FPV.5272,2005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
173,pdf?symbol=en%2FS%2FPV.7897,2017,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,pdf?symbol=en%2FS%2FPV.6068,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,1,1,1,0
175,pdf?symbol=en%2FS%2FPV.7402,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,6,0,0
176,pdf?symbol=en%2FS%2FPV.4303,2001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
177,pdf?symbol=en%2FS%2FPV.5415,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,pdf?symbol=en%2FS%2FPV.8520,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
179,pdf?symbol=en%2FS%2FPV.5884,2008,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0
180,pdf?symbol=en%2FS%2FPV.7396,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,1,0
181,pdf?symbol=en%2FS%2FPV.5397,2006,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0
182,pdf?symbol=en%2FS%2FPV.7482,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
183,pdf?symbol=en%2FS%2FPV.7227,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,pdf?symbol=en%2FS%2FPV.5861,2008,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
185,pdf?symbol=en%2FS%2FPV.5361,2006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
