,May I take it that the assembly wishes to take note of those items that remain open for consideration,The agenda was adopted,Amend the agenda to,I have been authorized to make the following statement on behalf of the assembly,Refer the matter,Report of the Committee,Point of Order,Right of reply,To adjourn the debate,May I take it that it is the wish of the General Assembly to conclude its consideration,To suspend the meeting,To adjourn the meeting,To introduce a draft amendment to the draft resolution,The Assembly will now take a decision on draft resolution,Objection to consideration of the question,To withdraw,Reconsideration of the,Appoint a Committee,A recorded vote has been requested,A paragraph-by-paragraph vote on the draft resolution,Sanctions,Peacekeeping,Peacemaking,The draft resolution was adopted,meeting,date
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.4_55_SR.9-EN,2001
134,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C-5_72_SR-7-EN,2017
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_56_PV.100-EN,2002
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,A_C-4_73_SR-20-EN,2018
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_AC.96_SR.662-EN,2012
138,0,0,0,0,0,1,0,1,0,0,0,1,4,4,0,1,0,0,2,5,0,0,0,1,A_C.1_70_PV.26-EN,2015
139,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,A_63_PV.24-EN,2008
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C-6_72_SR-4-EN,2017
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,A_59_PV-19-EN,2004
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.4_52_SR.22-EN,1997
143,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.1_49_PV.14-EN,1994
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.3_61_SR.39-EN,2007
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.2_49_SR.16-EN,1994
146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_AC-109_2009_SR-2-EN,2009
147,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.1_68_PV.10-EN,2014
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.3_68_SR.11-EN,2013
149,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,A_50_PV.106-EN,1996
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.2_62_SR.17-EN,2007
151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,A_C.3_69_SR.31-EN,2014
152,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,A_C.5_60_SR.41-EN,2006
153,0,0,0,0,0,9,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,A_C.5_65_SR.7-EN,2010
154,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,A_C-1_70_PV-8-EN,2015
155,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,A_C.3_65_SR.33-EN,2010
156,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.6_50_SR.25-EN,1995
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.2_65_SR.34-EN,2011
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.2_55_SR.22-EN,2000
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_57_PV-84-EN,2003
160,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.4_59_SR.9-EN,2004
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,A_C.2_73_SR.17-EN,2018
162,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,A_51_PV.35-EN,1996
163,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,1,0,0,4,0,0,0,2,A_C.6_54_SR.36-EN,2000
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.6_62_SR.12-EN,2007
165,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,A_C.5_56_SR.12-EN,2001
166,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.5_47_SR.1-76_Corrigendum-EN,1995
167,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A_C.6_74_SR.12-EN,2019
168,0,0,0,0,0,12,0,0,0,3,0,0,0,1,0,0,0,4,0,0,2,0,0,0,A_50_PV.94-EN,1995
